"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, CHICKPEAS - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","68,000","","",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","101,000","","",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","58,000","","",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","88,000","","",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","92,000","","",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","87,000","","",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","42,000","","",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","55,000","","",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","34,000","","",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","5,000","","",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","86,000","","",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","65,000","","",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","89,000","","",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","30,000","","",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","89,000","","",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","28,000","","",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","33,000","","",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","8,000","","",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","44,000","","",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","5,000","","",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","61,000","","",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","24,000","","",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","2,000","","",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","28,000","","",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","35,000","","",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","34,000","","",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","28,000","","",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","51,000","","",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","45,000","","",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","42,000","","",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","34,000","","",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","46,000","","",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","19,000","","",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","","","10,000","","",""
