"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,250,000","","1,437,400","","17.5","","427,055,000","","19,610,000","","1,569",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,616,500","","1,767,700","","15.1","","416,462,000","","26,543,000","","1,642",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,881,000","","2,027,500","","17.9","","548,784,000","","33,146,000","","1,762",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,917,700","","2,014,100","","20.4","","567,243,000","","30,418,000","","1,586",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,758,800","","1,869,800","","20.9","","576,658,000","","29,370,000","","1,670",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,750,700","","1,839,000","","23.7","","652,240,000","","27,912,000","","1,594",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,896,300","","2,066,300","","","","633,620,000","","30,689,000","","1,618",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,831,200","","2,011,800","","","","631,080,000","","28,950,000","","1,581",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,618,000","","1,867,900","","","","538,210,000","","21,862,000","","1,351",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,529,900","","1,640,600","","","","457,269,000","","22,615,000","","1,478",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,913,700","","1,964,100","","","","528,311,000","","33,765,000","","1,764",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,084,400","","2,177,600","","","","594,167,000","","32,379,000","","1,553",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,650,900","","1,824,600","","","","676,635,000","","23,729,000","","1,437",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,353,000","","1,485,400","","","","575,148,000","","19,253,000","","1,423",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,665,400","","1,782,600","","","","428,350,000","","26,031,000","","1,563",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,495,000","","1,653,800","","","","437,379,000","","22,960,000","","1,536",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,481,400","","1,569,900","","","","391,492,000","","22,298,000","","1,505",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,460,300","","1,501,000","","","","394,969,000","","21,070,000","","1,443",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,138,700","","1,180,000","","","","347,867,000","","15,520,000","","1,363",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,777,000","","1,924,500","","","","363,809,000","","25,563,000","","1,439",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,270,000","","2,390,000","","","","688,471,000","","32,751,000","","1,443",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,859,000","","1,920,000","","","","737,447,000","","26,729,000","","1,438",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,387,700","","1,427,000","","","","468,098,000","","20,552,000","","1,481",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,454,400","","1,503,900","","","","327,512,000","","18,935,000","","1,302",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,269,900","","1,402,700","","","","333,821,000","","16,555,000","","1,304",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,489,300","","1,531,800","","","","276,876,000","","17,836,000","","1,198",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,466,100","","1,514,200","","","","350,988,000","","17,442,000","","1,190",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,517,800","","1,587,400","","","","402,367,000","","20,330,000","","1,339",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,331,700","","1,358,700","","","","444,945,000","","16,274,000","","1,222",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,371,000","","1,456,000","","","","198,335,000","","17,983,000","","1,312",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,296,000","","1,338,000","","","","173,971,000","","15,939,000","","1,230",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,409,000","","1,503,000","","","","160,332,000","","17,399,000","","1,235",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,469,000","","1,519,000","","","","143,907,000","","18,913,000","","1,287",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,424,000","","1,473,000","","","","142,697,000","","17,435,000","","1,224",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,205,000","","1,283,000","","","","141,025,000","","15,215,000","","1,263",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,486,000","","1,521,000","","","","143,162,000","","19,964,000","","1,343",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,484,000","","1,556,000","","","","142,821,000","","16,457,000","","1,109",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,388,000","","1,442,000","","","","131,616,000","","17,375,000","","1,252",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,370,000","","1,404,000","","","","139,750,000","","19,982,000","","1,459",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,414,000","","1,465,000","","","","121,812,000","","17,942,000","","1,269",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,414,000","","1,445,000","","","","136,070,000","","19,672,000","","1,391",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,400,000","","1,438,000","","","","124,329,000","","17,411,000","","1,244",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,435,000","","1,517,000","","","","128,268,000","","18,505,000","","1,290",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,616,000","","1,660,000","","","","129,409,000","","19,287,000","","1,194",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,379,000","","1,451,000","","","","112,268,000","","15,670,000","","1,136",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,423,000","","1,476,000","","","","119,048,000","","17,234,000","","1,211",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,502,000","","1,602,000","","","","116,888,000","","16,672,000","","1,110",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,533,000","","1,668,000","","","","136,289,000","","16,939,000","","1,105",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,379,000","","1,418,000","","","","134,603,000","","16,498,000","","1,293",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,253,000","","1,299,000","","","","129,308,000","","14,917,000","","1,288",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,403,000","","1,513,000","","","","125,115,000","","15,828,000","","1,231",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,511,000","","1,655,000","","","","111,861,000","","15,123,000","","1,117",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,885,000","","1,936,000","","","","130,979,000","","19,863,000","","1,134",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,938,000","","1,996,000","","","","152,443,000","","19,384,000","","1,074",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,778,000","","1,856,000","","","","184,019,000","","15,829,000","","971",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,622,000","","1,704,000","","","","156,289,000","","14,702,000","","977",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,487,000","","1,659,000","","","","78,317,000","","11,950,000","","880",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,996,000","","2,155,000","","","","94,418,000","","15,044,000","","809",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,362,000","","2,599,000","","","","117,493,000","","19,435,000","","889",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,925,000","","2,102,000","","","","90,670,000","","17,568,000","","896",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,019,000","","2,250,000","","","","77,727,000","","17,100,000","","919",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,903,000","","2,079,000","","","","50,185,000","","15,790,000","","890",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,679,000","","1,876,000","","","","46,265,000","","14,254,000","","896",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,643,000","","1,759,000","","","","37,657,000","","14,717,000","","956",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,695,000","","1,911,000","","","","46,240,000","","14,940,000","","934",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,626,000","","1,950,000","","","","57,835,000","","10,767,000","","727",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,865,000","","2,087,000","","","","39,293,000","","13,333,000","","769",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,461,000","","1,985,000","","","","37,526,000","","10,656,000","","780",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,729,000","","1,895,000","","","","33,479,000","","12,065,000","","738",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,431,000","","1,625,000","","","","20,533,000","","10,410,000","","766",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,947,000","","2,145,000","","","","24,799,000","","11,970,000","","662",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,160,000","","2,266,000","","","","54,605,000","","13,540,000","","664",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,845,000","","1,924,000","","","","78,790,000","","11,561,000","","666",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,651,000","","1,874,000","","","","76,436,000","","9,900,000","","640",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,612,000","","1,747,000","","","","52,590,000","","9,108,000","","605",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,740,000","","2,121,000","","","","45,470,000","","9,669,000","","634",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,615,000","","1,859,000","","","","53,537,000","","10,755,000","","732",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,584,000","","1,802,000","","","","50,784,000","","8,410,000","","574",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,330,000","","1,387,000","","","","49,326,000","","8,955,000","","729",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,138,000","","1,254,000","","","","43,883,000","","7,324,000","","700",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","875,000","","905,000","","","","27,578,000","","5,772,000","","707",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","926,000","","964,000","","","","24,576,000","","5,809,000","","663",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,089,000","","1,127,000","","","","55,930,000","","7,799,000","","751",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,625,000","","1,787,000","","","","67,742,000","","9,281,000","","639",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,832,000","","2,108,000","","","","90,781,000","","9,036,000","","552",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,173,000","","1,349,000","","","","60,041,000","","6,450,000","","611",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,085,000","","1,156,000","","","","35,374,000","","7,251,000","","743",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","963,000","","986,000","","","","28,835,000","","7,208,000","","812",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","953,000","","981,000","","","","20,525,000","","6,057,000","","681",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","954,000","","992,000","","","","23,140,000","","6,736,000","","785",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","931,000","","1,010,000","","","","23,772,000","","6,659,000","","799",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","800,000","","809,000","","","","20,892,000","","6,079,000","","817",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","764,000","","768,000","","","","21,248,000","","6,430,000","","888",""
